id,category,feature,description,status,surface,syncthing_compat,implementation,verification,milestone,source,notes
session-open,client,Session opening,"Core shall open a peer session by combining discovery, candidate racing, transport connect and the BEP handshake into one explicit session handle.",tracked,core,syncthing,packages/core/src/client.ts,scripts/test-core-diagnostics.ts;scripts/test-syncpeer-peers.ts,,,Main entry for all apps.
host-adapter-contract,client,Host adapter contract,"Core shall depend only on an injectable host adapter for TLS, QUIC, relay, hashing, randomness, discovery and logging so the same client runs in CLI, desktop and Android shells.",tracked,core,syncthing,packages/core/src/client.ts,scripts/test-core-diagnostics.ts;scripts/test-syncpeer-peers.ts,,,Keeps core framework-free.
device-id-from-certificate,client,Device identity from certificate,Core shall derive device IDs from certificate DER and shall reject a peer whose certificate does not match the expected device ID.,tracked,core,syncthing,packages/core/src/client.ts,scripts/test-syncpeer-peers.ts;scripts/test-core-diagnostics.ts,,,Syncthing-compatible identity.
structured-core-logging,client,Structured diagnostics logging,"Core shall emit structured diagnostics events for handshake, discovery, index, transfer and closure decisions through the host log hook.",tracked,core,syncthing,packages/core/src/client.ts;packages/core/src/ui/browserClient.ts;packages/app/src/lib/tauriAdapters.ts,scripts/test-connection-management.ts;scripts/test-connection-notices.ts,,,Console and native error logs retain stable events and commands but omit arbitrary messages; copied diagnostics redact peer and filesystem metadata.
session-recovery-wrappers,client,Transport recovery wrappers,Core shall retry safe operations after a transport closure and shall raise an explicit ambiguous-publication outcome instead of replaying an upload or deletion whose outcome is unknown.,tracked,core,syncthing,packages/core/src/ui/recoveringRemoteFs.ts,scripts/test-connection-management.ts,,,Protects against silent duplicate publication.
shared-folder-advertisement,client,Shared folder advertisement,"Core shall validate shared-folder uniqueness and encryption mode and shall advertise folder and device configuration with index ID, max sequence and password token.",tracked,core,syncthing,packages/core/src/client.ts,scripts/test-core-diagnostics.ts;scripts/test-syncpeer-peers.ts,,,
replica-sync-loop,client,Replica sync loop,"Core shall periodically scan local replicas, receive remote indexes, request missing blocks and republish changed indexes for subscribed folders.",tracked,core,syncthing,packages/core/src/client.ts,scripts/test-folder-sync.ts;scripts/test-encrypted-replica.ts,,,"Shared by CLI, desktop and Android."
uploaded-block-serving,client,Uploaded block serving,Core shall serve blocks for content it has published and shall answer invalid or missing requests with the matching BEP error code.,tracked,core,syncthing,packages/core/src/client.ts,scripts/test-syncpeer-peers.ts;scripts/test-local.ts,,,Peers can pull published content.
ciphertext-folder-sharing,client,Ciphertext folder sharing,"Core shall publish and consume receive-encrypted indexes without holding the folder key, validating the ciphertext replica identity and password token.",tracked,core,syncthing,packages/core/src/client.ts,scripts/test-encrypted-replica.ts;scripts/test-encrypted-filesystem.ts,,,Untrusted relay nodes need no folder key.
connection-lifecycle,session,Connection lifecycle,"Core shall run all connection transitions through one explicit state machine (idle, connecting, connected, waiting, reconnecting, suspended, stopping, error) with capped randomized backoff.",tracked,core,local,packages/core/src/ui/connectionLifecycle.ts,scripts/test-connection-management.ts,,,One state machine for all shells.
path-upgrade-probe,session,Path upgrade probe,"Core shall probe for a better connection path and shall swap sessions only after the replacement is ready, closing the old path afterwards.",tracked,core,local,packages/core/src/ui/connectionLifecycle.ts,scripts/test-connection-management.ts,,,
foreground-online-gating,session,Foreground and online gating,"Core shall suspend or resume a session based on online state, foreground state and active transfers.",tracked,core,local,packages/core/src/ui/connectionLifecycle.ts,scripts/test-connection-management.ts,,,Android battery/network policy builds on this.
session-store,session,Session store navigation,The session store shall expose observable session state and shall reject stale updates through request and epoch guards.,tracked,core,local,packages/core/src/ui/sessionStore.ts,scripts/test-session-store-navigation.ts;scripts/test-connection-management.ts,,,
directory-state-machine,session,Directory state machine,"Core shall model directory browsing as explicit idle, loading, ready, stale, locked and error transitions with reload semantics.",tracked,core,local,packages/core/src/ui/sessionTransitions.ts,scripts/test-session-store-navigation.ts,,,
password-scoping,session,Device-scoped folder passwords,Core shall resolve folder passwords by source device and folder ID and shall produce an explicit device-scoped password map for each connection.,implemented,core,local,packages/core/src/ui/sessionPasswords.ts,,,,Behavior is exercised indirectly by credential and connection tests.
saved-connections,session,Saved connections,The app shall persist named saved devices with introducer and auto-connect metadata and shall connect to a saved device with one action.,tracked,app,local,packages/app/src/app/deviceActions.ts,scripts/test-connection-management.ts,,,Stored per profile with secure credential rules.
global-discovery,discovery,Global discovery client,"Core shall resolve peer addresses through a Syncthing global discovery server and shall parse tcp, quic and relay candidates.",tracked,core,syncthing,packages/core/src/client.ts,scripts/lan-test/spec.ts;scripts/test-dev-cli.ts,,,Official Syncthing server or a pinned custom server.
local-lan-discovery,discovery,Local LAN discovery,Core shall consume Syncthing LAN discovery announcements and expose anonymous and device-tagged candidates; on Android the app shall hold the multicast lock while discovery is active.,tracked,core,syncthing,packages/core/src/client.ts,scripts/test-node-local-discovery.ts;scripts/test-tauri-local-discovery.ts;scripts/test-lan-discovery.ts,,,Android holds a multicast lock while active.
candidate-ranking-cooldown,discovery,Candidate ranking and cooldown,Core shall rank candidates with Syncthing's preference order and shall skip failing candidates through growing cooldown windows.,tracked,core,syncthing,packages/core/src/client.ts,scripts/test-connection-management.ts,,,Matches Syncthing ordering expectations.
discovery-modes-racing,discovery,Discovery modes and racing,"Core shall support automatic, global, LAN and direct discovery plus manual candidates, racing direct candidates and delaying relay fallback.",tracked,core,syncthing,packages/core/src/client.ts,scripts/test-core-diagnostics.ts;scripts/test-connection-management.ts,,,
relay-transport,transport,Relay fallback,Core shall connect through the standard Syncthing relay pool when direct paths fail or relay-only mode is configured.,tracked,core,syncthing,packages/core/src/client.ts,scripts/lan-test/spec.ts;scripts/test-dev.ts,,,Fallback through the standard pool is e2e-tested.
tls-mutual-auth,transport,Direct TLS mutual authentication,"Core shall connect directly over TLS with Syncthing-compatible certificates, ALPN bep/1.0 and peer certificate verification.",tracked,core,syncthing,packages/core/src/core/transport/node.ts,scripts/test-syncpeer-peers.ts;scripts/test-local.ts,,,Interoperates with real Syncthing.
quic-transport,transport,QUIC transport,Core shall connect over QUIC with ALPN negotiation and peer certificate extraction where the host provides node:quic.,tracked,core,syncthing,packages/core/src/core/transport/nodeQuic.ts,scripts/test-node-quic-integration.ts;scripts/test-node-quic-runtime.ts,,,Optional Node/desktop transport.
incoming-session-accept,transport,Incoming session approval,Core shall accept incoming peer sessions only for approved device IDs and shall advertise the shared folders to the peer.,tracked,core,syncthing,packages/core/src/client.ts,scripts/test-syncthing-approval-integration.ts;scripts/test-syncthing-approval.ts,,,Unknown devices are never auto-accepted.
write-serialization,transport,Write serialization and cancellation,Core shall serialize socket writes and shall close the socket on write failure or abort.,tracked,core,syncthing,packages/core/src/client.ts,scripts/test-core-diagnostics.ts,,,
resumable-download,transfer,Resumable downloads with block reuse,Core shall reuse only hash-verified cached or partial ranges and shall request only missing blocks so interrupted downloads resume without corrupting content.,tracked,all,syncthing,packages/core/src/transfer/blockReuse.ts;packages/core/src/core/model/remoteFs.ts;packages/core/src/sync/documentDraft.ts,scripts/test-block-reuse.ts;scripts/test-document-drafts.ts;scripts/lan-test/spec.ts,,,Includes cross-process partial recovery and encrypted ranges. A complete replacement block never authenticates a damaged prior journal chunk.
download-checkpoint-sink,transfer,Checkpointed download sink,Core shall persist completed download ranges across retries and shall reject a download whose remote metadata changed.,tracked,core,syncthing,packages/core/src/transfer/stream.ts,scripts/test-block-reuse.ts;scripts/test-connection-management.ts,,,
download-orchestration,transfer,Download orchestration,"Core shall download blocks with bounded concurrency, ordered writes and per-block hash verification and shall account reused, resumed and network bytes.",tracked,core,syncthing,packages/core/src/core/model/remoteFs.ts,scripts/test-block-reuse.ts;scripts/test-core-diagnostics.ts,,,Progress feeds the UI and notifications.
whole-file-upload,transfer,Whole-file upload publication,"Core shall publish file changes with a BEP FileInfo containing chunk hashes, sequence and an advanced version vector and shall optionally await peer confirmation.",tracked,all,syncthing,packages/core/src/client.ts,scripts/test-folder-sync-integration.ts;scripts/test-local.ts,,,Uploads buffer the whole file in memory.
remote-deletion,transfer,Remote deletion publication,Core shall publish a deletion tombstone with the correct encrypted name when applicable and shall optionally await the peer index confirmation.,tracked,all,syncthing,packages/core/src/client.ts,scripts/test-folder-sync-integration.ts;scripts/test-local.ts,,,
request-retry-compat,transfer,Block request retry and compatibility,Core shall retry transport-failing block requests and shall fall back across temporary and block-metadata modes and smaller chunked pulls for older peers.,tracked,core,syncthing,packages/core/src/core/model/remoteFs.ts,scripts/test-core-diagnostics.ts;scripts/test-local.ts,,,Works around older peers.
encrypted-block-transfer,transfer,Encrypted block transfer,"Core shall plan, authenticate and decrypt encrypted ranges and shall re-encrypt blocks and tokens on upload to real Syncthing encrypted folders.",tracked,core,syncthing,packages/core/src/core/model/remoteFs.ts;packages/core/src/client.ts,scripts/test-encrypted-filesystem.ts,,,Verified against real Syncthing receive-encrypted data.
node-download-sink,transfer,Node download staging and resume,"The Node download sink shall stage bytes in a temporary file, atomically replace on commit and resume verified partials across processes.",tracked,core,syncthing,packages/core/src/transfer/nodeStorage.ts,scripts/test-block-reuse.ts,,,Used by CLI and desktop.
hashing-download-sink,transfer,Hashing download sink,Core shall wrap any download sink with sequential hashing and shall expose a verified digest at commit.,tracked,core,syncthing,packages/core/src/transfer/stream.ts,scripts/test-core-diagnostics.ts;scripts/test-block-reuse.ts,,,
transfer-notifications,transfer,Transfer notification reduction,The app shall reduce transfer events into single or combined progress notifications with completion and cancel behavior.,tracked,core,syncthing,packages/core/src/ui/transferNotification.ts,scripts/test-transfer-notifications.ts,,,
transfer-cancel,transfer,Cancel transfers,The app shall cancel one transfer or all active transfers through the UI and the Android notification.,tracked,app;android,syncthing,packages/app/src/app/transferRuntime.ts,scripts/test-android-e2e.mjs,,,Android notification cancel is device e2e tested.
android-transfer-service,transfer,Android transfer foreground service,The Android app shall run transfers under a dataSync foreground service or an Android 14 user-initiated job.,tracked,android,syncthing,packages/tauri-shell/src-tauri/plugins/syncpeer-android/android/src/main/java/dev/syncpeer/plugin/android/SyncpeerTransferService.kt,scripts/test-android-e2e.mjs,,,Device/emulator e2e.
large-transfer-under-load,transfer,Large transfer under metadata churn,Core shall keep a large transfer active while folder metadata churns concurrently.,tracked,all,syncthing,packages/core/src/client.ts,scripts/lan-test/spec.ts,,,Requires the LAN fixture.
streaming-upload,transfer,Whole-file streaming uploads,"Core shall publish file content through a bounded streaming path instead of buffering the whole file, including avoiding whole-file reads through the WebView bridge.",tracked,all,syncthing,packages/core/src/client.ts; packages/core/src/transfer/stream.ts; packages/core/src/sync/serviceFavoriteSync.ts,streams a favorite larger than the retired service buffer cap; two Syncpeer peers exchange plaintext/encrypted blocks (streamed upload); folder CLI publication against managed Syncthing,0.6,ROADMAP_0.6.md:1,publishFileFromSource re-reads a random-access source per served block; the retired 32 MiB service buffer cap is gone.
bounded-service-transfer-memory,transfer,Bounded service transfer memory,"The Android service shall bound favorite transfer memory, shall fail closed on oversized uploads and shall preserve the local edit in that case.",implemented,android,syncthing,packages/core/src/sync/serviceFavoriteSync.ts,,,ROADMAP_0.6.md:1,Downloads stream into the document store; uploads remain capped at 32 MiB in the service isolate.
android-block-reuse-e2e,transfer,Android block-reuse validation,The Android app shall prove cached-range reuse on a device against a real peer before block reuse is claimed for Android.,planned,android,syncthing,packages/tauri-shell/src-tauri/src/cache_ranges.rs,,backlog,DESIGN_INCREMENTAL_BLOCK_REUSE.md,Desktop reuse is verified end to end; the Android provider E2E was not run.
encrypted-folder-replica,storage,Encrypted folder replica,"The document replica shall store document bytes, logical names and private records encrypted with the folder key behind the shared replica contract.",tracked,core,local,packages/core/src/sync/encryptedReplicaStorage.ts,scripts/test-encrypted-replica.ts,,,
ciphertext-only-replica,storage,Ciphertext-only replica,The keyless ciphertext replica shall keep immutable generations and a journaled ciphertext index that can be received and forwarded while the folder is locked.,tracked,core,local,packages/core/src/sync/ciphertextReplica.ts;packages/core/src/sync/ciphertextIndex.ts,scripts/test-encrypted-replica.ts;scripts/test-replica-persistence.ts,,,Storage format 2 replaces the raw folder identity and password token with a domain-separated commitment; format 1 is atomically migrated under the replica lock.
replica-index-scan,storage,Replica index scan,The replica index shall hash local entries into block plans and per-device version vectors and shall retain tombstones.,tracked,core,local,packages/core/src/sync/replicaIndex.ts,scripts/test-replica-index.ts,,,
replica-merge,storage,Replica receive and merge,The replica merge shall apply remote updates causally and shall write a Syncthing-style conflict copy when both sides changed concurrently.,tracked,core,local,packages/core/src/sync/replicaMerge.ts;packages/core/src/sync/replicaReceive.ts,scripts/test-replica-index.ts,,,Converges when peers reverse edits.
replica-control,storage,Replica pause and resume,"The replica controller shall drain admitted work before pausing, resuming or closing and shall expose its state.",tracked,core,local,packages/core/src/sync/replicaControl.ts,scripts/test-replica-control.ts,,,
folder-registry,storage,Folder registry,"Core shall persist folder registrations, open their replicas and attach or detach download ownership without deleting local data on detach.",tracked,core,local,packages/core/src/sync/folderRegistry.ts,scripts/test-folder-registry.ts,,,
node-folder-storage,storage,Node folder storage,"The Node folder storage shall use atomic replacement, refuse symlink parents and serialize writers through a root lock while remaining a plaintext Syncthing-compatible folder.",tracked,core,syncthing,packages/core/src/sync/nodeFolderStorage.ts,scripts/test-folder-sync.ts,,,
sqlite-metadata,storage,SQLite metadata store,"Core shall store replica, vault and private records in per-root WAL SQLite databases with quick_check, backups and a root identity guard.",tracked,core,local,packages/core/src/sync/nodeMetadataStorage.ts;packages/core/sqlite/metadata.sql,scripts/test-sqlite-metadata.ts,,,
legacy-metadata-migration,storage,Legacy metadata migration,"Core shall import legacy JSON replica, baseline and pause state into SQLite and shall retire the originals only after verification; corrupt history shall never become an empty database.",tracked,core,local,packages/core/src/sync/nodeReplicaMetadata.ts,scripts/test-sqlite-metadata.ts;scripts/test-replica-index.ts,,,Corrupt legacy history is never converted to empty state.
native-filesystem-bridge,storage,Native byte-storage bridge,Core shall talk to native byte storage through a validated command protocol and shall pack private record prefixes into native encrypted metadata.,tracked,all,local,packages/core/src/sync/nativeFilesystem.ts,scripts/test-native-filesystem.ts,,,Shared by Android and desktop hosts.
document-filesystem,storage,Encrypted document filesystem,"The document filesystem shall be the single owner for vault access, folders, documents, handles, versions, create, rename, remove and sync baselines.",tracked,all,local,packages/core/src/sync/documentFilesystem.ts,scripts/test-document-filesystem.ts,,,Backs Android DocumentsProvider and desktop cache.
document-drafts,storage,Document drafts,Document drafts shall persist a ciphertext base plus atomic 128 KiB changed chunks so acknowledged edits survive process death and recover as conflicts when needed.,tracked,core,local,packages/core/src/sync/documentDraft.ts,scripts/test-document-drafts.ts,,,Acknowledged edits survive process death.
encrypted-scratch,storage,Encrypted scratch,The document owner shall encrypt temporary edit blocks with an ephemeral key and shall reclaim only its own abandoned scratch.,tracked,core,local,packages/core/src/sync/encryptedScratch.ts,scripts/test-encrypted-scratch.ts,,,
directory-snapshots,storage,Directory snapshots and catalog,The document owner shall persist encrypted per-source directory snapshots and cache access times within bounded caps.,tracked,core,local,packages/core/src/sync/documentPrivateRecords.ts,scripts/test-document-filesystem.ts;scripts/test-document-cache.ts,,,
cache-quota-eviction,storage,Cache quota and eviction,Core shall enforce a bounded cache quota and shall evict by least-recent use while never evicting favorites or locally changed files.,tracked,core,local,packages/core/src/sync/profileSettings.ts,scripts/test-favorite-selection.ts;scripts/test-document-filesystem.ts,,,
cache-migration,storage,Cache migration,"Core shall migrate legacy plaintext cache into encrypted documents and back, verifying content before deleting originals in either direction.",tracked,all,local,packages/core/src/sync/documentCache.ts,scripts/test-document-cache.ts,,,
document-version-history,storage,Document version history,The document owner shall list and restore archived versions through encrypted metadata and shall archive the current bytes as a new version on restore.,tracked,all,local,packages/core/src/sync/documentFilesystem.ts,scripts/test-document-filesystem.ts,,,
writable-replica-file,storage,Writable replica file,Core shall edit an existing or new replica file through scratch storage with expected-version commit and abort.,tracked,core,local,packages/core/src/sync/replicaWritableFile.ts,scripts/test-replica-writable-file.ts,,,
bounded-catalog-queries,storage,Bounded catalog queries,Core shall replace complete metadata snapshot loads with paged queries and shall keep blocking SQLite work off the event loop.,planned,core,local,packages/core/src/sync/nodeMetadataStorage.ts,,backlog,remaining_issues.txt:platform,From remaining_issues.txt; needs realistic large-catalog benchmarks.
browser-storage-adapter,storage,Browser storage adapter,A browser storage adapter shall preserve the same core storage contract if browser persistence is added.,planned,core,local,,,backlog,remaining_issues.txt:platform,From remaining_issues.txt; no browser persistence today.
root-lock-security-boundary,storage,Root lock security limits,"The root lock shall remain a coordination mechanism, not a security boundary; a hostile local process replacing directory ancestors is out of scope.",implemented,core,syncthing,packages/core/src/sync/nodeFolderStorage.ts,,,DESIGN_INCREMENTAL_BLOCK_REUSE.md,Documented limitation; a crashed lock needs manual verification.
stfolder-marker,storage,Syncthing folder marker,A synchronized folder shall keep .stfolder as its only deliberate plaintext compatibility marker.,tracked,all,syncthing,packages/core/src/sync/replicaPaths.ts,scripts/test-replica-index.ts,,LOCAL_STORAGE.md,
encrypted-archive-versions,storage,Encrypted archived versions,Archived document versions shall be folder-key encrypted and shall reveal only version timing and count.,tracked,core,local,packages/core/src/sync/documentFilesystem.ts,scripts/test-document-filesystem.ts,,LOCAL_STORAGE.md,
sqlite-platform-ownership,storage,SQLite platform ownership,"Node shall use node:sqlite, desktop and mobile shall use bundled rusqlite, Android shall call the same Rust owner over JNI, and browser persistence shall stay deferred.",tracked,all,local,packages/core/sqlite/metadata.sql,scripts/test-sqlite-metadata.ts;scripts/test-document-runtime.mjs,,SQLITE_STORAGE.md,
shared-metadata-schema,storage,Shared metadata schema,All platforms shall share one metadata schema keyed by namespace and ID and shall treat stored values as opaque.,tracked,all,local,packages/core/sqlite/metadata.sql,scripts/test-sqlite-metadata.ts,,SQLITE_STORAGE.md,
transactional-snapshot-writes,storage,Transactional snapshot writes,Snapshots shall be written transactionally and unchanged rows shall keep their revisions.,tracked,core,local,packages/core/src/sync/nodeMetadataStorage.ts,scripts/test-sqlite-metadata.ts,,SQLITE_STORAGE.md,
metadata-backup,storage,Metadata backup primitives,Storage adapters shall expose consistent SQLite snapshot backups as primitives rather than as a user-facing backup UI.,tracked,all,local,packages/core/src/sync/nodeMetadataStorage.ts,scripts/test-sqlite-metadata.ts,,SQLITE_STORAGE.md,Not a user-facing backup UI; backup files contain private metadata.
metadata-restore-workflow,storage,Metadata restore workflow,A metadata restore shall require stopped owners and matching file contents and shall never copy a database without its WAL.,planned,all,local,,,backlog,SQLITE_STORAGE.md,Restoring metadata alone does not undo document changes; never copy the database without its WAL.
external-root-identity,storage,External root identity guard,Storage shall detect a replaced root across restarts and shall distinguish a missing database from first initialization with a sentinel.,tracked,core,local,packages/core/src/sync/nodeMetadataStorage.ts,scripts/test-sqlite-metadata.ts,,SQLITE_STORAGE.md,
sqlite-durability,storage,SQLite write durability,SQLite shall run in WAL mode with FULL synchronous durability so process death rolls back partial changes.,tracked,core,local,packages/core/sqlite/metadata.sql,scripts/test-sqlite-metadata.ts,,SQLITE_STORAGE.md,
no-concurrent-writers,storage,Single-writer rule,The system shall not run old binaries or concurrent writable frontends against migrated storage.,implemented,all,local,packages/core/src/sync/nodeMetadataStorage.ts,,,SQLITE_STORAGE.md,Different state roots do not share the operation lock.
two-way-folder-sync,sync,Two-way folder reconciliation,"Core shall reconcile local scans, remote listings and a durable baseline into upload, download, delete and conflict actions.",tracked,all,syncthing,packages/core/src/sync/folderSync.ts,scripts/test-folder-sync.ts;scripts/test-folder-sync-integration.ts;scripts/lan-test/spec.ts,,,"Shared by CLI, desktop and tests."
versioning-modes,sync,Versioning and trash,"Core shall support disabled, trash, simple and staggered version retention with age and spacing pruning across storage frontends.",tracked,all,syncthing,packages/core/src/sync/folderSync.ts;packages/core/src/sync/nodeFolderStorage.ts,scripts/test-folder-sync.ts,,,
delete-everywhere,sync,Delete everywhere,Delete-everywhere shall archive local content before removal and shall propagate the deletion to the peer according to policy.,tracked,all,syncthing,packages/core/src/sync/folderSync.ts,scripts/test-folder-sync.ts;scripts/test-folder-sync-integration.ts,,,
unsubscribe-folder,sync,Unsubscribe folder,"Unsubscribe shall be local-only: it shall mark the folder unsubscribed, archive and remove local contents and reset the baseline without deleting remote data.",tracked,all,local,packages/core/src/sync/folderSync.ts,scripts/test-folder-sync.ts,,,"Local-only, unlike delete-everywhere."
stale-lock-recovery,sync,Stale lock recovery,The system shall define safe stale-lock recovery after an ungraceful stop and shall never treat a locked or replaced root as an empty folder.,planned,core,syncthing,packages/core/src/sync/nodeFolderStorage.ts,,backlog,remaining_issues.txt:sync,From remaining_issues.txt; a crashed lock currently needs manual verification.
favorite-selection,sync,Favorite selection rules,"Core shall classify paths as favorite, remote-only or ignored from exclusions and ignore patterns and shall collect qualifying descendants of favorite folders.",tracked,all,layered,packages/core/src/ui/favoriteSelection.ts,scripts/test-favorite-selection.ts;scripts/test-document-cache.ts,,,
favorite-background-sync,sync,Service-owned favorite sync,"The Android service shall own favorite selection, transfer scheduling, durable baselines and retry state and shall reconcile selected files after connect, after document release, after favorite changes and on a bounded interval, including edits made through Android's document provider.",tracked,android,layered,packages/core/src/sync/serviceFavoriteSync.ts;packages/core/src/sync/documentFavoriteState.ts,scripts/test-service-favorite-sync.ts,,ROADMAP_0.6.md:1,Durable encrypted state and retry backoff.
favorite-delete-rename,sync,"Favorite deletion, rename and conflicts","Favorite sync shall propagate a deletion only while the other side matches the verified baseline, shall publish a local rename as new-path plus old-path tombstone, and shall record a conflict and preserve both copies whenever either side changed concurrently; remote renames are observed as a peer deletion of the old path.",tracked,android,layered,packages/core/src/sync/favoriteSyncPlan.ts,scripts/test-favorite-sync-plan.ts;scripts/test-service-favorite-sync.ts,,ROADMAP_0.6.md:1,Remote renames still appear as a delete of the old path.
favorite-retry-state,sync,Durable favorite transfer state,"The service shall persist per-favorite phase, message, attempts and backoff encrypted so interrupted work resumes after service termination.",tracked,android,layered,packages/core/src/sync/documentFavoriteState.ts,scripts/test-service-favorite-sync.ts,,ROADMAP_0.6.md:1,Interrupted downloads resume from encrypted drafts.
directory-favorites,sync,Directory favorites,"The Android service shall synchronize favorite directories: it shall select remote favorite descendants plus locally cached favorites, download only selected non-ignored content, publish offline edits, and preserve local-only files.",tracked,android,layered,packages/core/src/sync/serviceFavoriteSync.ts,scripts/test-favorite-sync-plan.ts;scripts/test-service-favorite-sync.ts,0.6,ROADMAP_0.6.md:2,Directory rename copies descendants and tombstones old paths; unselected remote content is never downloaded.
favorite-removal-semantics,sync,Favorite removal semantics,Removing a favorite shall be a distinct operation from deleting a remote file or discarding a local edited copy; remote deletion happens only through the verified-baseline delete path.,tracked,android,layered,packages/app/src/app/directoryActions.ts,scripts/test-favorite-sync-plan.ts;scripts/test-service-favorite-sync.ts,0.6,ROADMAP_0.6.md:2,Excluded paths are neither downloaded nor reported; unstarring never deletes remote or local data.
favorite-progress-ui,sync,Per-favorite progress and retry UI,"The app shall show per-favorite phase, message and retry backoff, and shall offer retry plus keep-local or keep-remote conflict resolution that the service executes on its next pass.",tracked,android,local,packages/app/src/components/FavoritesTab.svelte;packages/core/src/sync/documentFavoriteState.ts,scripts/test-service-favorite-sync.ts,0.6,ROADMAP_0.6.md:2,Resolution intent is persisted encrypted and consumed only after the operation succeeds.
android-folder-import,sync,Existing folder import and recovery,The Android app shall explicitly register or import an existing encrypted Syncthing folder with folder-password recovery and clear peer and folder identity approval.,tracked,android,syncthing,packages/core/src/sync/folderRegistry.ts;packages/app/src/FolderSettingsPage.svelte;packages/tauri-shell/src-tauri/src/replica_storage.rs,scripts/test-credential-vault.ts;scripts/test-document-filesystem.ts;scripts/test-android-e2e.mjs,0.6,ROADMAP_0.6.md:2,Registration keeps the root browsable without a full download and requires explicit peer and folder approval. The API 29 clean-install emulator run passed encrypted native register/reopen/replica lifecycle on 2026-09-19; physical Android folder-password recovery remains.
offline-directory-listings,sync,Offline directory listings,The service shall persist encrypted directory snapshots for every visited favorite directory so a browsed favorite has an offline listing after the vault is unlocked.,tracked,android,local,packages/core/src/sync/documentPrivateRecords.ts,scripts/test-service-favorite-sync.ts,0.6,ROADMAP_0.6.md:2,A never-browsed directory still has no listing; the app reports that limit plainly.
mixed-peer-convergence,sync,Mixed peer convergence tests,"Mixed Syncthing and Syncpeer tests shall cover initial transfer, edits in both directions, reconnect, conflict, deletion, wrong password, tampered or truncated data and large bounded reads.",tracked,all,syncthing,,scripts/test-syncpeer-peers.ts;scripts/test-local.ts;scripts/test-encrypted-filesystem.ts,0.6,ROADMAP_0.6.md:5,"Syncpeer peers cover transfer, edits in both directions, reconnect, conflict, deletion, pause/resume and identity rejection; encrypted filesystem tests cover truncation and corruption. Android plus Syncthing device runs remain."
